name,image,category,trailer,stars,platform
Una Herencia Peliaguda,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714510519/NarcisoIPTV/herenciaPeliaguda_bnhel2.jpg,Comedy,https://www.youtube.com/watch?v=wV8gsQxSWOk,3,Prime Video
Puppy Love,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714510650/NarcisoIPTV/puppy_love_tidrzp.jpg,Comedy,https://www.youtube.com/watch?v=skN4TYE6Wkk,4,Prime Video
Cómo escapar de Búfalo,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714510772/NarcisoIPTV/escapardeBufalo_pvah2a.jpg,Comedy,https://www.youtube.com/watch?v=TRKjwCIYW0A,2,Prime Video
Un Hipster en la España vacía,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714510869/NarcisoIPTV/hipster_vipits.jpg,Comedy,https://www.youtube.com/watch?v=ne2sd6If834,4,Prime Video
50 Sombras muy oscuras,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714510959/NarcisoIPTV/50sombrasOscuras_mhzw9u.jpg,Comedy,https://www.youtube.com/watch?v=xsowkDvFU3w,4,Prime Video
Yummy,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511069/NarcisoIPTV/yummy_qhgsh0.jpg,Comedy,https://www.youtube.com/watch?v=RXHDRVXqcoQ,3,Prime Video
Desmadre Incluido,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511172/NarcisoIPTV/desmadre_incluido_nbkapj.jpg,Comedy,https://www.youtube.com/watch?v=ndNQ3sxBdmI,5,Prime Video
El Club del Paro,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511235/NarcisoIPTV/el_club_del_paro_uly8oh.jpg,Comedy,https://www.youtube.com/watch?v=TU6HaqKLqPA,3,Prime Video
Role Play,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511307/NarcisoIPTV/role_play_qs72wg.jpg,Comedy,https://www.youtube.com/watch?v=lZA4AJABZBY,5,Prime Video
Del lado del Verano,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511390/NarcisoIPTV/del_lado_del_verano_s6gmsh.jpg,Comedy,https://www.youtube.com/watch?v=npE8Fe03Bj0,3,Prime Video
En Temporada Baja,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511460/NarcisoIPTV/en_temporada_baja_djgiz3.jpg,Comedy,https://www.youtube.com/watch?v=d7B0vnQt_cc,2,Prime Video
Todo sobre mi Padre,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511542/NarcisoIPTV/about_my_father_mxymi6.jpg,Comedy,https://www.youtube.com/watch?v=exKtD9tikrM,4,Prime Video
Movie 43,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511629/NarcisoIPTV/movie_43_hgltww.jpg,Comedy,https://www.youtube.com/watch?v=OS3Hdf20z5Q,5,Prime Video
Perdiendo el este,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511721/NarcisoIPTV/perdiendo_el_este_xwbyvx.jpg,Comedy,https://www.youtube.com/watch?v=SZYBr_umNao,5,Prime Video
Las Reinas de los Cupones,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511839/NarcisoIPTV/queenpins_ojrkln.jpg,Comedy,https://www.youtube.com/watch?v=RsImUGxkIts,4,Prime Video
Un novio para mi Mujer,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511917/NarcisoIPTV/un_novio_para_mi_mujer_ulafrn.jpg,Comedy,https://www.youtube.com/watch?v=yU_ms32GeRw,4,Prime Video
Malditos Vecinos 2,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714511984/NarcisoIPTV/neighbors_2_sorority_rising_fecyfm.jpg,Comedy,https://www.youtube.com/watch?v=iNC2WruQgVU,5,Prime Video
De perdidos a Río,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714512046/NarcisoIPTV/de_perdidos_a_rio_yv8rrg.jpg,Comedy,https://www.youtube.com/watch?v=HfCv9rB9ZG0,4,Prime Video
Beekeeper,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714574755/NarcisoIPTV/the_beekeeper_lxrh9w.jpg,Action,https://www.youtube.com/watch?v=oJm0t84q8c8,4,Prime Video
Una decisión peligrosa,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714574877/NarcisoIPTV/good_people_shoqh0.jpg,Action,https://www.youtube.com/watch?v=RMvStHRyjic,3,Prime Video
Los Mercen4rios,https://res.cloudinary.com/dnju3aw4b/image/upload/v1714574981/NarcisoIPTV/expend4bles_n1ptp7.jpg,Action,https://www.youtube.com/watch?v=1o0MvhLn92U,4,Prime Video
